,Textos_espanol,sdg
0,"Se basa en los nueve años de educación básica (seis de primaria y tres de secundaria). Los alumnos que acceden al segundo ciclo de secundaria pueden ir a un centro de orientación más académica o a un centro de formación profesional. Esto se aplica tanto en el sistema islámico como en el no islámico. La enseñanza secundaria superior formal comprende la enseñanza general (sekolah menengah atas, o SMA), la enseñanza profesional (sekolah menengah kejuruan, o SMK), las escuelas secundarias superiores islámicas (madrasah aliyah, o MA) y la enseñanza profesional islámica (madrasah aliyah kejuruan, o MAK). Este capítulo se centra principalmente en la enseñanza secundaria superior académica, mientras que el capítulo 5 trata de la formación profesional. Se está trabajando en el desarrollo de colegios comunitarios y vías alternativas de acceso a la enseñanza superior. ",4
1,"En la última década, y en particular desde 2010, el número de altas per cápita ha tendido a disminuir, y ahora está en línea con la media de la OCDE mencionada anteriormente. Por ejemplo, los habitantes de zonas rurales representan el 43% de la población, pero sólo el 32% de las altas hospitalarias. A falta de información complementaria, no es posible determinar si esta diferencia indica o no disparidades en el acceso de las poblaciones rurales y, en caso afirmativo, si las causas son geográficas, culturales o infraestructurales. No parece que se recojan datos sobre el acceso a la atención desde el punto de vista del paciente, lo que ayudaría a comprender la naturaleza de los obstáculos al acceso (y las soluciones). En general, no es posible determinar con los datos disponibles si los ingresos o las características socioeconómicas de los pacientes influyen a la hora de llegar a las puertas del hospital o de ser ingresado. El acceso desigual probablemente se deba también a la incapacidad de los centros de las distintas regiones para prestar los mismos servicios. ",3
2,"Así, por ejemplo, el estigma asociado a los beneficiarios de prestaciones sociales o a los pobres aumenta su desventaja. Del mismo modo, los errores de dignidad y reconocimiento pueden causar desventajas.54 La infravaloración del trabajo de las mujeres es un error de reconocimiento que causa directamente desventajas socioeconómicas, por lo que el derecho a la igualdad de retribución por un trabajo de igual valor es una síntesis importante de las dos primeras dimensiones del derecho a la igualdad: reparar la desventaja y abordar el estigma y los estereotipos. Tanto el Comité de Derechos Económicos, Sociales y Culturales como el Comité para la Eliminación de la Discriminación contra la Mujer han dado este paso. Directrices para la presentación de informes"", párrafo 29, CDESC, Ecuador, op. cit. ",5
3,"Hay muchos profesores no cualificados en las escuelas, ya que es difícil contratar a profesores cualificados. Un indicio del reconocimiento del importante papel de los profesores en este contexto es la inclusión por Alberta de preguntas adicionales en la Encuesta Internacional sobre la Enseñanza y el Aprendizaje de la OCDE de 2018 relativas a la comprensión por parte de los profesores y los líderes escolares de cuestiones relacionadas con las culturas indígenas, la historia y el trabajo con alumnos indígenas, así como sobre el desarrollo profesional pertinente. El enfoque holístico de los pueblos indígenas hace hincapié en lo mucho que estos contribuyen al bienestar general de los niños, así como al de todos los demás, además de factores como las ventajas y desventajas materiales. El trauma sufrido por los pueblos indígenas, incluso a través del sistema de escuelas residenciales, todavía es sentido agudamente por muchos. De hecho, se nos dijo que los síntomas del trauma pueden aumentar en lugar de disminuir con el paso del tiempo, exacerbados por las relaciones intergeneracionales. Frente a este panorama más amplio, pueden comprenderse mejor los estudios específicos de determinadas provincias y territorios, y la comparación entre jóvenes indígenas y no indígenas (Freeman, King y Pickett, 2016). ",4
4,"A raíz de su preocupación por el hecho de que los médicos de todo el sistema sanitario japonés no fueran capaces de identificar los signos de sufrimiento psicológico que podrían ayudar a reducir los suicidios, la Asociación Médica Japonesa informa de que empezó a compartir información y orientaciones sobre la depresión con todos los médicos, primero en 2004 y luego de nuevo en 2009. En la actualidad, sólo se recogen indicadores sobre la tasa de reclusión y contención, y de ingresos involuntarios, por parte de los proveedores y a nivel prefectural. La información recopilada sistemáticamente sobre el sistema de atención de salud mental se limita a indicadores estructurales: instalaciones, número de personal, número de camas. ",3
5,"Hay que eliminar las prácticas discriminatorias de las instituciones financieras, como el requisito de que los hombres firmen los documentos de las mujeres. Pero las instituciones financieras formales tienen que hacer algo más que reducir las barreras de entrada a las mujeres micropropietarias. Deben mejorar su rendimiento a la hora de financiar el crecimiento de las empresas propiedad de mujeres. ",5
6,"Los centros de educación básica alternativa (EBA) ofrecen tres años con un plan de estudios alternativo en sustitución de los cuatro años que dura el primer ciclo ordinario de primaria. El nivel secundario consta de dos ciclos de dos años cada uno: 9Â ""10 y 11-12. Los que completan diez años de escolaridad pueden acceder al segundo ciclo para prepararse para la enseñanza superior, o ingresar en centros de EFTP para recibir formación para un empleo productivo (véase la figura 8.1). ",4
7,"El uso de estadísticas de género puede proporcionar una comprensión más completa de las dimensiones de género de la pobreza, lo que a su vez puede cambiar significativamente las prioridades en las intervenciones políticas y programáticas (Klugman, 2002). Las estadísticas de género pueden abordar múltiples dimensiones de la pobreza y la desigualdad, incluida la desigualdad de activos basada en el género, la asignación de recursos dentro del hogar, la pobreza de tiempo o la vulnerabilidad a los choques externos. Comprender la naturaleza de género de la pobreza mejorará significativamente tanto la equidad como la eficacia de las estrategias de reducción de la pobreza (Klugman, 2002). Las estadísticas de género desempeñan un papel importante en el desarrollo y el seguimiento de las políticas de reducción de la violencia contra las mujeres. ",5
8,"Cabe preguntarse, sin embargo, si los alumnos con más talento del país asisten a estos centros, ya que los estudiantes desfavorecidos tienen un acceso más limitado a las clases extraescolares para prepararse para la admisión. Además, la proporción de alumnos con mejores resultados en las evaluaciones internacionales sigue siendo muy pequeña, mientras que un gran número se queda rezagado con respecto a sus compañeros de otros países. Los sistemas educativos que mejoran más rápidamente en PISA muestran que las mejoras en la parte superior e inferior de la escala de rendimiento pueden ir de la mano. ",4
9,"A pesar de que hay más pensionistas mujeres que hombres, los ingresos totales de las pensionistas son inferiores a los de los hombres (ASUB 2014: 5). En 2011, la pensión media de las mujeres era de 1.220 euros al mes, frente a los 1.744 euros de los hombres (ASUB 2013: 23). En el informe de la ASUB (2013:21) puede encontrarse un examen más detallado de la diferencia salarial medida sobre la base de diferentes principios y parámetros. ",5
